"name","sA","rA","sC","rC","sG","rG","sH","rH"
"Felix Mantilla","61.2752","40.0332","61.1987","42.4029","59.4997","34.16","62.0468","35.7849"
"Brian Baker","61.1951","36.4101","60.4167","40.2108","68.0608","39.1697","60.1005","35.0069"
"Evgeny Donskoy","62.1803","33.9728","60.2985","33.3333","64.3287","27.7207","62.4437","35.1446"
"Edouard Roger-Vasselin","62.4136","35.8098","60.0733","37.1616","64.8831","35.0939","62.7854","35.4064"
"Igor Sijsling","63.4548","34.3297","60.3926","34.9479","65.8742","34.3888","63.9537","34.1145"
"Janko Tipsarevic","64.7662","36.6248","61.7926","37.4984","67.9363","33.9553","65.1845","37.0862"
"Brian Dabul","61.9829","35.1641","61.1033","37.0572","62.9237","33.1111","62.7526","33.427"
"Gaston Gaudio","60.6845","40.741","60.4045","42.7707","57.1118","38.0899","61.5844","37.3104"
"Paul-Henri Mathieu","63.0663","36.895","60.9141","40.3165","65.686","33.9426","63.6877","35.5107"
"Brad Gilbert","61.5216","39.697","58.3054","41.9775","61.8199","39.7107","61.4385","39.5869"
"Cedric Pioline","63.2229","38.2027","60.5565","40.733","65.4627","36.7344","63.4312","37.8744"
"Jan Hajek","57.6512","35.88","59.3094","38.2468","58.231","30.6283","55.6159","33.5712"
"Robin Haase","62.3952","36.0573","61.0772","38.3873","65.3788","31.2299","62.6945","35.3702"
"Jimmy Wang","59.2181","37.0484","48.2301","36.1233","60.7126","36.4165","58.9862","37.5687"
"Tobias Kamke","58.8379","38.3568","58.1649","39.4814","61.3242","34.9424","58.4291","38.7873"
"Jerzy Janowicz","64.8746","34.5554","62.658","34.5182","68.5154","32.9552","64.7688","34.9888"
"Andreas Beck","62.3742","34.8485","62.002","35.2424","64.5468","33.069","61.8779","35.0782"
"Dudi Sela","60.0137","38.2672","55.4684","36.2445","63.1618","37.2987","60.0866","38.859"
"Joachim Johansson","69.3948","31.6658","60.1279","29.9539","70.0988","28.8446","70.3648","32.2034"
"Sergiy Stakhovsky","63.2086","35.5199","60.8249","35.4088","67.5859","35.5263","63.2125","35.6697"
"Florian Mayer","61.9659","37.8308","60.0915","40.6749","66.2974","34.6983","62.3698","36.5137"
"Martin Klizan","60.4176","37.58","60.3915","39.3602","61.4166","33.1412","60.2252","36.7356"
"Michal Przysiezny","61.7223","32.3265","58.3995","32.6797","63.6089","31.8232","62.7114","32.3013"
"Karol Kucera","60.7995","40.6662","57.6946","41.8132","62.6105","41.8366","61.5174","39.7741"
"David Wheaton","63.3536","37.7558","61.3031","38.1871","65.3243","37.6007","62.9222","38.3716"
